,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:00:00,0.57834,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
1,2023-10-11 22:00:00,0.57847,neutral,neutral,short,short,long,Interval.in_1_hour,AUDCHF,long,long,short,long
2,2023-10-11 21:00:00,0.57837,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,short,long
3,2023-10-11 20:00:00,0.57828,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
4,2023-10-11 19:00:00,0.57808,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
5,2023-10-11 18:00:00,0.57828,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
6,2023-10-11 17:00:00,0.57892,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
7,2023-10-11 16:00:00,0.57891,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
8,2023-10-11 15:00:00,0.57927,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,short
9,2023-10-11 14:00:00,0.57942,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,short
10,2023-10-11 13:00:00,0.57946,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
11,2023-10-11 12:00:00,0.57963,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
12,2023-10-11 11:00:00,0.57984,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,short
13,2023-10-11 10:00:00,0.58033,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,long,short
14,2023-10-11 09:00:00,0.58047,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
15,2023-10-11 08:00:00,0.58058,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
16,2023-10-11 07:00:00,0.58098,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
17,2023-10-11 06:00:00,0.58082,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,long,short
18,2023-10-11 05:00:00,0.581,neutral,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
19,2023-10-11 04:00:00,0.58166,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
20,2023-10-11 03:00:00,0.58219,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
21,2023-10-11 02:00:00,0.58186,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
22,2023-10-11 01:00:00,0.58164,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
23,2023-10-11 00:00:00,0.58166,long,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
24,2023-10-10 23:00:00,0.581905,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,short
25,2023-10-10 22:00:00,0.58164,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
26,2023-10-10 21:00:00,0.58129,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
27,2023-10-10 20:00:00,0.58089,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,short,short
28,2023-10-10 19:00:00,0.58101,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
29,2023-10-10 18:00:00,0.58124,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
30,2023-10-10 17:00:00,0.58076,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
31,2023-10-10 16:00:00,0.58032,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
32,2023-10-10 15:00:00,0.58038,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
33,2023-10-10 14:00:00,0.57999,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
34,2023-10-10 13:00:00,0.5798,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
35,2023-10-10 12:00:00,0.58011,long,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
36,2023-10-10 11:00:00,0.58048,neutral,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
37,2023-10-10 10:00:00,0.57951,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,long,short
38,2023-10-10 09:00:00,0.58014,long,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
39,2023-10-10 08:00:00,0.5808,neutral,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
40,2023-10-10 07:00:00,0.58088,neutral,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
41,2023-10-10 06:00:00,0.58052,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
42,2023-10-10 05:00:00,0.5804,long,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
43,2023-10-10 04:00:00,0.58173,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
44,2023-10-10 03:00:00,0.58106,long,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
45,2023-10-10 02:00:00,0.5812,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
46,2023-10-10 01:00:00,0.58077,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
47,2023-10-10 00:00:00,0.58106,long,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
48,2023-10-09 23:00:00,0.581285,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,short
49,2023-10-09 22:00:00,0.58103,neutral,short,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,short
50,2023-10-09 21:00:00,0.58068,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
51,2023-10-09 20:00:00,0.57986,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
52,2023-10-09 19:00:00,0.57916,neutral,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
53,2023-10-09 18:00:00,0.57924,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
54,2023-10-09 17:00:00,0.57858,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
55,2023-10-09 16:00:00,0.57873,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
56,2023-10-09 15:00:00,0.57857,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
57,2023-10-09 14:00:00,0.57902,short,short,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
58,2023-10-09 13:00:00,0.57872,neutral,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
59,2023-10-09 12:00:00,0.57934,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
60,2023-10-09 11:00:00,0.5791,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
61,2023-10-09 10:00:00,0.57946,neutral,neutral,short,short,long,Interval.in_1_hour,AUDCHF,long,long,short,long
62,2023-10-09 09:00:00,0.5783,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,short,long
63,2023-10-09 08:00:00,0.57818,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
64,2023-10-09 07:00:00,0.57797,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
65,2023-10-09 06:00:00,0.57809,neutral,neutral,short,long,short,Interval.in_1_hour,AUDCHF,long,short,short,long
66,2023-10-09 05:00:00,0.57882,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
67,2023-10-09 04:00:00,0.57932,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
68,2023-10-09 03:00:00,0.57938,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,short,long
69,2023-10-09 02:00:00,0.57895,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
70,2023-10-09 01:00:00,0.5781,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
71,2023-10-09 00:00:00,0.57819,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
72,2023-10-06 23:00:00,0.58102,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
73,2023-10-06 22:00:00,0.58094,neutral,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
74,2023-10-06 21:00:00,0.58156,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,long
75,2023-10-06 20:00:00,0.58142,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,short,long
76,2023-10-06 19:00:00,0.58062,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,short,long
77,2023-10-06 18:00:00,0.58062,neutral,neutral,short,short,long,Interval.in_1_hour,AUDCHF,long,long,short,long
78,2023-10-06 17:00:00,0.58021,neutral,neutral,short,short,long,Interval.in_1_hour,AUDCHF,long,long,short,long
79,2023-10-06 16:00:00,0.58006,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,short,long
80,2023-10-06 15:00:00,0.57989,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
81,2023-10-06 14:00:00,0.57943,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
82,2023-10-06 13:00:00,0.58034,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
83,2023-10-06 12:00:00,0.58055,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
84,2023-10-06 11:00:00,0.58103,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
85,2023-10-06 10:00:00,0.58085,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
86,2023-10-06 09:00:00,0.58136,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
87,2023-10-06 08:00:00,0.58102,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,long,short
88,2023-10-06 07:00:00,0.58171,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
89,2023-10-06 06:00:00,0.58214,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
90,2023-10-06 05:00:00,0.58246,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,short,short
91,2023-10-06 04:00:00,0.58177,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,short,short
92,2023-10-06 03:00:00,0.58156,neutral,neutral,short,short,long,Interval.in_1_hour,AUDCHF,long,long,short,short
93,2023-10-06 02:00:00,0.58138,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,short,short
94,2023-10-06 01:00:00,0.5813,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
95,2023-10-06 00:00:00,0.58118,neutral,neutral,short,long,short,Interval.in_1_hour,AUDCHF,long,short,long,short
96,2023-10-05 23:00:00,0.581265,neutral,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
97,2023-10-05 22:00:00,0.58132,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
98,2023-10-05 21:00:00,0.58168,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,short
99,2023-10-05 20:00:00,0.5814,neutral,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
100,2023-10-05 19:00:00,0.58096,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
101,2023-10-05 18:00:00,0.58021,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
102,2023-10-05 17:00:00,0.58044,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
103,2023-10-05 16:00:00,0.58044,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
104,2023-10-05 15:00:00,0.581,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
105,2023-10-05 14:00:00,0.58058,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
106,2023-10-05 13:00:00,0.58122,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
107,2023-10-05 12:00:00,0.58104,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,long,short
108,2023-10-05 11:00:00,0.58122,neutral,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
109,2023-10-05 10:00:00,0.58177,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
110,2023-10-05 09:00:00,0.58218,neutral,short,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
111,2023-10-05 08:00:00,0.58218,neutral,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
112,2023-10-05 07:00:00,0.58254,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
113,2023-10-05 06:00:00,0.5824,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
114,2023-10-05 05:00:00,0.58156,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
115,2023-10-05 04:00:00,0.58162,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,short,short
116,2023-10-05 03:00:00,0.5805,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
117,2023-10-05 02:00:00,0.58018,neutral,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
118,2023-10-05 01:00:00,0.58039,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
119,2023-10-05 00:00:00,0.5801,neutral,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
120,2023-10-04 23:00:00,0.58017,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
121,2023-10-04 22:00:00,0.57973,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
122,2023-10-04 21:00:00,0.57974,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
123,2023-10-04 20:00:00,0.57954,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,short,short
124,2023-10-04 19:00:00,0.5799,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
125,2023-10-04 18:00:00,0.58048,neutral,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,short,short
126,2023-10-04 17:00:00,0.58013,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
127,2023-10-04 16:00:00,0.57977,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,short
128,2023-10-04 15:00:00,0.57988,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,short
129,2023-10-04 14:00:00,0.58002,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,short
130,2023-10-04 13:00:00,0.58086,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,short
131,2023-10-04 12:00:00,0.58088,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,short
132,2023-10-04 11:00:00,0.58089,neutral,neutral,short,long,short,Interval.in_1_hour,AUDCHF,long,short,short,short
133,2023-10-04 10:00:00,0.58136,neutral,neutral,short,long,short,Interval.in_1_hour,AUDCHF,long,short,short,short
134,2023-10-04 09:00:00,0.58156,neutral,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
135,2023-10-04 08:00:00,0.58191,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
136,2023-10-04 07:00:00,0.58238,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,short
137,2023-10-04 06:00:00,0.58088,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
138,2023-10-04 05:00:00,0.58119,short,short,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
139,2023-10-04 04:00:00,0.58052,neutral,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
140,2023-10-04 03:00:00,0.58123,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,short,long
141,2023-10-04 02:00:00,0.58108,short,short,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
142,2023-10-04 01:00:00,0.58028,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
143,2023-10-04 00:00:00,0.58054,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,short,long
144,2023-10-03 23:00:00,0.58045,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
145,2023-10-03 22:00:00,0.58042,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
146,2023-10-03 21:00:00,0.58058,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
147,2023-10-03 20:00:00,0.58014,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
148,2023-10-03 19:00:00,0.58048,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
149,2023-10-03 18:00:00,0.58052,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
150,2023-10-03 17:00:00,0.5806,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
151,2023-10-03 16:00:00,0.5819,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
152,2023-10-03 15:00:00,0.58128,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
153,2023-10-03 14:00:00,0.5814,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
154,2023-10-03 13:00:00,0.58176,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,short,long
155,2023-10-03 12:00:00,0.58156,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
156,2023-10-03 11:00:00,0.58156,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
157,2023-10-03 10:00:00,0.58211,neutral,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,short,long
158,2023-10-03 09:00:00,0.58122,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
159,2023-10-03 08:00:00,0.57987,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
160,2023-10-03 07:00:00,0.58082,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
161,2023-10-03 06:00:00,0.58293,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
162,2023-10-03 05:00:00,0.58282,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
163,2023-10-03 04:00:00,0.58326,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
164,2023-10-03 03:00:00,0.5844,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
165,2023-10-03 02:00:00,0.58404,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
166,2023-10-03 01:00:00,0.58406,neutral,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
167,2023-10-03 00:00:00,0.58438,neutral,neutral,short,short,long,Interval.in_1_hour,AUDCHF,long,long,short,long
168,2023-10-02 23:00:00,0.5843,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,short,long
169,2023-10-02 22:00:00,0.58396,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
170,2023-10-02 21:00:00,0.58374,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
171,2023-10-02 20:00:00,0.58448,neutral,long,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
172,2023-10-02 19:00:00,0.58469,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
173,2023-10-02 18:00:00,0.58501,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
174,2023-10-02 17:00:00,0.5856,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
175,2023-10-02 16:00:00,0.58496,neutral,short,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
176,2023-10-02 15:00:00,0.58524,neutral,short,short,short,long,Interval.in_1_hour,AUDCHF,long,long,short,long
177,2023-10-02 14:00:00,0.58489,neutral,neutral,short,short,long,Interval.in_1_hour,AUDCHF,long,long,short,long
178,2023-10-02 13:00:00,0.58462,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,short,long
179,2023-10-02 12:00:00,0.58394,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
180,2023-10-02 11:00:00,0.58384,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
181,2023-10-02 10:00:00,0.58452,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
182,2023-10-02 09:00:00,0.58618,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
183,2023-10-02 08:00:00,0.586,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
184,2023-10-02 07:00:00,0.58657,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
185,2023-10-02 06:00:00,0.58708,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
186,2023-10-02 05:00:00,0.5875,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,short,long
187,2023-10-02 04:00:00,0.58885,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,short,long
188,2023-10-02 03:00:00,0.58899,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,short,long
189,2023-10-02 02:00:00,0.58938,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,short,long
190,2023-10-02 01:00:00,0.58898,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,short,long
191,2023-10-02 00:00:00,0.58878,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,long,long
192,2023-09-29 23:00:00,0.5885,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
193,2023-09-29 22:00:00,0.58841,neutral,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
194,2023-09-29 21:00:00,0.58933,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
195,2023-09-29 20:00:00,0.58858,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,long,long
196,2023-09-29 19:00:00,0.58894,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,long,long
197,2023-09-29 18:00:00,0.58942,long,long,short,short,short,Interval.in_1_hour,AUDCHF,long,short,long,short
198,2023-09-29 17:00:00,0.59033,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
199,2023-09-29 16:00:00,0.59154,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
200,2023-09-29 15:00:00,0.59176,long,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
201,2023-09-29 14:00:00,0.5916,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
202,2023-09-29 13:00:00,0.5919,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,short
203,2023-09-29 12:00:00,0.59154,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
204,2023-09-29 11:00:00,0.58964,neutral,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
205,2023-09-29 10:00:00,0.5894,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
206,2023-09-29 09:00:00,0.58977,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
207,2023-09-29 08:00:00,0.58968,long,long,short,long,short,Interval.in_1_hour,AUDCHF,long,short,long,short
208,2023-09-29 07:00:00,0.5898,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
209,2023-09-29 06:00:00,0.59008,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
210,2023-09-29 05:00:00,0.59046,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
211,2023-09-29 04:00:00,0.58917,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
212,2023-09-29 03:00:00,0.58778,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
213,2023-09-29 02:00:00,0.58789,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
214,2023-09-29 01:00:00,0.5881,neutral,neutral,short,short,long,Interval.in_1_hour,AUDCHF,long,long,long,short
215,2023-09-29 00:00:00,0.58808,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
216,2023-09-28 23:00:00,0.58805,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
217,2023-09-28 22:00:00,0.5879,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,short
218,2023-09-28 21:00:00,0.58838,long,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
219,2023-09-28 20:00:00,0.58854,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,short
220,2023-09-28 19:00:00,0.5885,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,short
221,2023-09-28 18:00:00,0.58784,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,short
222,2023-09-28 17:00:00,0.58766,short,short,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
223,2023-09-28 16:00:00,0.58641,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
224,2023-09-28 15:00:00,0.58746,long,long,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,long
