,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,False,False,True,True,True,False,True,True,True,True,2023-10-06 23:48:00,neutral,neutral,short,short,short
1,False,False,False,False,False,False,False,False,False,True,2023-10-06 23:46:00,neutral,neutral,long,short,short
2,True,False,False,False,False,False,False,False,False,False,2023-10-06 23:45:00,neutral,neutral,long,short,short
3,False,True,False,False,False,False,False,False,False,False,2023-10-06 23:44:00,neutral,neutral,long,short,long
4,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:43:00,neutral,long,long,short,long
5,True,False,False,False,False,False,False,False,False,False,2023-10-06 23:42:00,neutral,long,long,short,long
6,True,True,False,False,False,False,False,False,False,False,2023-10-06 23:41:00,neutral,neutral,long,short,short
7,True,True,True,True,False,True,False,False,False,False,2023-10-06 23:40:00,neutral,neutral,long,short,short
8,True,True,True,True,True,True,True,False,False,False,2023-10-06 23:39:00,neutral,neutral,long,short,long
9,False,False,False,True,True,False,False,False,False,False,2023-10-06 23:38:00,neutral,neutral,long,short,long
10,True,False,True,True,True,True,True,False,True,False,2023-10-06 23:37:00,neutral,neutral,long,short,long
11,False,True,False,False,False,True,True,False,False,False,2023-10-06 23:36:00,neutral,neutral,long,short,short
12,True,True,True,True,True,True,True,True,True,True,2023-10-06 23:35:00,neutral,neutral,long,short,short
13,False,True,False,True,False,False,True,True,True,False,2023-10-06 23:34:00,neutral,neutral,long,short,long
14,True,False,True,True,True,True,True,True,True,True,2023-10-06 23:33:00,neutral,neutral,long,short,long
15,False,True,False,True,True,True,True,True,True,True,2023-10-06 23:32:00,neutral,neutral,long,short,long
16,False,False,True,False,True,False,True,False,False,True,2023-10-06 23:31:00,neutral,neutral,short,short,short
17,True,True,True,True,True,True,True,True,True,True,2023-10-06 23:30:00,neutral,neutral,short,short,short
18,True,True,True,True,True,True,True,True,True,True,2023-10-06 23:29:00,neutral,neutral,short,short,short
19,False,False,True,True,False,True,False,True,True,True,2023-10-06 23:28:00,neutral,long,short,short,long
20,True,False,False,True,True,True,True,False,True,True,2023-10-06 23:27:00,neutral,long,short,short,long
21,True,True,False,True,True,True,True,True,True,True,2023-10-06 23:26:00,neutral,long,short,short,long
22,True,True,True,True,True,True,True,True,True,True,2023-10-06 23:25:00,neutral,neutral,short,short,short
23,True,True,True,True,True,True,True,True,True,True,2023-10-06 23:24:00,neutral,neutral,short,short,short
24,True,True,True,True,True,True,True,True,True,True,2023-10-06 23:23:00,neutral,neutral,short,short,long
25,False,True,True,True,True,True,True,True,True,True,2023-10-06 23:22:00,neutral,neutral,short,short,long
26,False,False,False,True,True,True,True,True,True,True,2023-10-06 23:21:00,neutral,long,short,short,long
27,True,True,True,True,True,True,True,True,True,True,2023-10-06 23:20:00,short,neutral,short,short,long
28,True,True,True,True,True,True,True,True,True,True,2023-10-06 23:19:00,neutral,neutral,short,short,long
29,True,True,True,True,True,True,True,True,True,True,2023-10-06 23:18:00,neutral,neutral,short,short,long
30,False,False,False,True,True,True,True,True,True,True,2023-10-06 23:17:00,short,neutral,short,short,short
31,True,False,False,False,True,True,True,True,True,True,2023-10-06 23:16:00,neutral,neutral,short,short,short
32,True,True,False,False,False,True,True,True,True,True,2023-10-06 23:15:00,neutral,neutral,short,short,short
33,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:14:00,neutral,neutral,short,short,long
34,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:13:00,short,neutral,short,short,long
35,True,True,False,False,False,False,False,False,False,False,2023-10-06 23:12:00,neutral,neutral,short,short,long
36,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:11:00,neutral,neutral,short,short,long
37,True,False,False,False,False,False,False,False,False,False,2023-10-06 23:10:00,neutral,neutral,short,short,short
38,False,True,False,False,False,False,False,False,False,False,2023-10-06 23:09:00,neutral,neutral,short,short,short
39,True,True,True,False,False,False,False,False,False,False,2023-10-06 23:08:00,neutral,neutral,short,short,short
40,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:07:00,neutral,neutral,short,short,long
41,True,False,False,False,False,False,False,False,False,False,2023-10-06 23:06:00,neutral,neutral,short,short,long
42,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:05:00,neutral,neutral,short,short,long
43,True,True,True,False,False,False,False,False,False,False,2023-10-06 23:04:00,neutral,neutral,short,short,long
44,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:03:00,short,neutral,short,short,short
45,True,True,True,True,True,False,False,False,False,False,2023-10-06 23:02:00,neutral,short,short,short,short
46,False,True,False,False,False,False,False,False,False,False,2023-10-06 23:01:00,neutral,short,short,short,short
47,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:00:00,neutral,short,short,short,short
48,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:59:00,neutral,short,short,short,short
49,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:58:00,neutral,short,short,short,long
50,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:57:00,neutral,neutral,short,short,long
51,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:56:00,neutral,neutral,short,short,long
52,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:55:00,neutral,neutral,short,short,long
53,True,True,False,False,False,False,False,False,False,False,2023-10-06 22:54:00,short,neutral,short,short,short
54,True,True,True,False,False,False,False,False,False,False,2023-10-06 22:53:00,neutral,short,short,short,short
55,False,False,True,False,False,False,False,False,False,False,2023-10-06 22:52:00,neutral,short,short,short,short
56,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:51:00,long,short,short,short,short
57,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:50:00,neutral,neutral,short,short,short
58,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:49:00,neutral,neutral,long,short,long
59,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:48:00,neutral,neutral,long,short,long
60,True,True,False,False,False,False,False,False,False,False,2023-10-06 22:47:00,neutral,neutral,long,short,long
61,False,True,True,False,False,False,False,False,False,False,2023-10-06 22:46:00,neutral,long,long,short,long
62,True,True,True,True,True,False,False,False,False,False,2023-10-06 22:45:00,neutral,neutral,long,short,long
63,True,True,True,True,True,True,True,False,False,False,2023-10-06 22:44:00,neutral,neutral,long,short,short
64,True,True,True,True,True,True,True,True,False,False,2023-10-06 22:43:00,neutral,neutral,long,short,short
65,False,True,True,True,True,True,True,True,True,False,2023-10-06 22:42:00,neutral,neutral,long,short,short
66,False,False,False,False,True,True,True,True,True,False,2023-10-06 22:41:00,neutral,neutral,long,short,short
67,True,False,False,False,True,True,True,True,True,True,2023-10-06 22:40:00,neutral,neutral,long,short,long
68,False,False,False,False,False,False,False,False,True,True,2023-10-06 22:39:00,long,neutral,long,short,long
69,True,False,True,False,False,False,False,True,True,True,2023-10-06 22:38:00,neutral,neutral,long,short,long
70,True,True,True,True,False,False,False,True,True,True,2023-10-06 22:37:00,neutral,neutral,long,short,long
71,False,True,True,True,True,False,False,False,True,True,2023-10-06 22:36:00,neutral,neutral,long,short,long
72,True,True,True,True,True,True,True,True,True,True,2023-10-06 22:35:00,neutral,neutral,long,short,short
73,False,True,True,True,True,True,True,True,False,True,2023-10-06 22:34:00,neutral,neutral,long,short,short
74,True,False,True,True,True,True,True,True,True,False,2023-10-06 22:33:00,neutral,short,long,short,short
75,False,False,False,False,False,False,True,False,True,False,2023-10-06 22:32:00,long,neutral,long,short,short
76,False,False,False,False,False,False,False,True,False,False,2023-10-06 22:31:00,neutral,neutral,long,short,long
77,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:30:00,neutral,long,long,short,long
78,True,True,False,False,False,False,False,False,False,True,2023-10-06 22:29:00,neutral,neutral,long,short,short
79,True,True,True,True,False,False,False,True,True,True,2023-10-06 22:28:00,neutral,neutral,long,short,short
80,True,True,True,True,True,False,False,False,True,True,2023-10-06 22:27:00,neutral,neutral,long,short,short
81,False,False,True,True,True,True,False,False,False,True,2023-10-06 22:26:00,neutral,long,long,short,long
82,True,False,False,True,True,True,True,False,False,False,2023-10-06 22:25:00,neutral,neutral,long,short,long
83,True,True,True,True,True,True,True,True,False,False,2023-10-06 22:24:00,neutral,neutral,long,short,long
84,True,True,True,True,True,True,True,True,True,True,2023-10-06 22:23:00,neutral,neutral,long,short,long
85,False,True,True,True,True,True,True,True,True,True,2023-10-06 22:22:00,neutral,neutral,long,short,long
86,True,True,True,True,True,True,True,True,True,True,2023-10-06 22:21:00,neutral,neutral,short,short,short
87,True,True,True,True,True,True,True,True,True,True,2023-10-06 22:20:00,neutral,neutral,short,short,short
88,False,False,True,True,True,True,True,True,True,True,2023-10-06 22:19:00,neutral,neutral,short,short,short
